"<img src=""Front"">"	Thai	Phonetic	Translation	Grammar	Vocabulary	Audio	Module
"<img src=""Bad Guys_S01E03_Episode 3.th.closedcaptions_00h37m42s520ms-00h37m46s480ms.avif"">"	มึงเหม็น กูก็เหม็นเหมือนกัน ไอ้สัตว์	mʉng měn guu gɔ̂ɔ měn mʉ̌an-gan âi-sàt	If you can smell it, I can too, you animal	Basic ก็ pattern: Subject + ก็ + verb = "also/too". กู (I) + ก็ (also) + เหม็น (smell) = "I also smell it"	มึง (mʉng): you (vulgar); กู (guu): I (vulgar); เหม็น (měn): stink/smell bad; เหมือนกัน (mʉ̌an-gan): too/also	[sound:Bad Guys_S01E03_Episode 3.th.closedcaptions_00h37m42s520ms-00h37m46s480ms.ogg]	1.1
"<img src=""Answer for Heaven_S01E15_Truth Part 2.th.closedcaptions_00h25m37s285ms-00h25m41s805ms.avif"">"	กูก็อยากรู้ว่าถ้าน้ำท่วมเนี่ย มันจะมีผลกระทบต่อหมีแพนด้ารึเปล่า	guu gɔ̂ɔ yàak-rúu wâa tâa nám-tûam nîa man jà mii pǒn-grà-tòp dtɔ̀ɔ mǐi-pɛɛn-dâa rʉ́-bplào	I just wanna know if the flood will affect the pandas	Subject + ก็ + verb: กู (I) + ก็ (also/just) + อยากรู้ (want to know). Here ก็ adds emphasis "I just want to know"	น้ำท่วม (nám-tûam): flood; ผลกระทบ (pǒn-grà-tòp): impact/effect; หมีแพนด้า (mǐi-pɛɛn-dâa): panda	[sound:Answer for Heaven_S01E15_Truth Part 2.th.closedcaptions_00h25m37s285ms-00h25m41s805ms.ogg]	1.1
"<img src=""The Bride of Naga_S01E10_Episode 10.th.closedcaptions_01h01m09s240ms-01h01m14s360ms.avif"">"	แล้วเราก็พบว่าที่เซลล์ผิวหนังของเด็กเนี่ย มันมีการแบ่งตัวที่ค่อนข้างผิดปกติอยู่	lɛ́ɛo rao gɔ̂ɔ póp wâa tîi sen pǐu-nǎng kɔ̌ɔng dèk nîa man mii gaan bɛ̀ng-dtua tîi kɔ̂n-kâang pìt-bpà-gà-dtì yùu	We found that the children's skin cells had irregular cell division	Sequential ก็: แล้ว...ก็ = "then". After something, then we found. Shows sequence of events/actions	เซลล์ (sen): cell; ผิวหนัง (pǐu-nǎng): skin; แบ่งตัว (bɛ̀ng-dtua): divide/cell division; ผิดปกติ (pìt-bpà-gà-dtì): abnormal	[sound:The Bride of Naga_S01E10_Episode 10.th.closedcaptions_01h01m09s240ms-01h01m14s360ms.ogg]	1.1
"<img src=""Oh My Ghost_S01E03_Episode 3.th.closedcaptions_00h04m29s285ms-00h04m35s045ms.avif"">"	อาจจะโดนปล้นหรือว่าตายไปข้างถนนแล้วก็ได้	àat-jà doon bplôn rʉ̌ʉ-wâa dtaai bpai kâang-tà-nǒn lɛ́ɛo gɔ̂ɔ dâai	might have been robbed or dead on the street by now	แล้วก็ได้ pattern: Shows completed possibility "might have already". แล้ว (already) + ก็ได้ (can be/is possible)	โดน (doon): get/suffer (passive); ปล้น (bplôn): rob; ข้างถนน (kâang-tà-nǒn): roadside	[sound:Oh My Ghost_S01E03_Episode 3.th.closedcaptions_00h04m29s285ms-00h04m35s045ms.ogg]	1.1
"<img src=""Answer for Heaven_S01E08_Delusion Part 1.th.closedcaptions_00h10m44s965ms-00h10m50s365ms.avif"">"	แต่มันก็เป็นเรื่องที่น่าแปลก	dtɛ̀ɛ man gɔ̂ɔ bpen rʉ̂ang tîi nâa-bplɛ̀ɛk	But it's strange	Contrast with ก็: แต่...ก็ = "but...still". Shows something is true despite contrast. "But it IS strange"	น่าแปลก (nâa-bplɛ̀ɛk): strange/odd; เรื่อง (rʉ̂ang): matter/story	[sound:Answer for Heaven_S01E08_Delusion Part 1.th.closedcaptions_00h10m44s965ms-00h10m50s365ms.ogg]	1.1
"<img src=""Oh My Ghost_S01E02_Episode 2.th.closedcaptions_00h54m47s565ms-00h54m52s245ms.avif"">"	นี่เพิ่งหาย ก็เลยอยากมากิน	nîi pə̂ng-hǎai gɔ̂ɔ-ləəi yàak maa gin	I just got better so I want to come eat	Consequence ก็เลย: Shows cause-effect "just recovered SO want to eat". ก็เลย = therefore/so	เพิ่งหาย (pə̂ng-hǎai): just recovered; ก็เลย (gɔ̂ɔ-ləəi): so/therefore	[sound:Oh My Ghost_S01E02_Episode 2.th.closedcaptions_00h54m47s565ms-00h54m52s245ms.ogg]	1.1
"<img src=""Bad Guys_S01E09_Episode 9.th.closedcaptions_00h51m00s720ms-00h51m05s960ms.avif"">"	แล้วก็แวะมาดูพ่อ	lɛ́ɛo gɔ̂ɔ wɛ́ maa duu pɔ̂ɔ	And then stopped by to see Dad	Sequential action: แล้วก็ = "and then". Shows one action following another in sequence	แวะ (wɛ́): stop by/drop in	[sound:Bad Guys_S01E09_Episode 9.th.closedcaptions_00h51m00s720ms-00h51m05s960ms.ogg]	1.1
"<img src=""To the Moon and Back_S01E02_Episode 2.th.closedcaptions_00h32m31s760ms-00h32m35s680ms.avif"">"	ปอกใส่กล่องแล้วก็ใส่ตู้เย็น	bpɔ̀ɔk sài glɔ̀ng lɛ́ɛo gɔ̂ɔ sài dtûu-yen	peel, put in boxes, then put in the fridge	Sequential actions: Do A แล้วก็ do B. Shows chronological order of actions	ปอก (bpɔ̀ɔk): peel; กล่อง (glɔ̀ng): box; ตู้เย็น (dtûu-yen): refrigerator	[sound:To the Moon and Back_S01E02_Episode 2.th.closedcaptions_00h32m31s760ms-00h32m35s680ms.ogg]	1.1
"<img src=""Oh My Ghost_S01E06_Episode 6.th.closedcaptions_00h03m38s685ms-00h03m44s845ms.avif"">"	เอาดอกกะหล่ำมาสับมาปั่น แล้วก็ไปผัด	ao dɔ̀ɔk-gà-làm maa sàp maa bpàn lɛ́ɛo gɔ̂ɔ bpai pàt	took cauliflower, chopped, blended, then stir-fried	Complex sequential: Multiple verbs then แล้วก็ for final action. Shows series ending with "and then"	ดอกกะหล่ำ (dɔ̀ɔk-gà-làm): cauliflower; สับ (sàp): chop; ปั่น (bpàn): blend; ผัด (pàt): stir-fry	[sound:Oh My Ghost_S01E06_Episode 6.th.closedcaptions_00h03m38s685ms-00h03m44s845ms.ogg]	1.1
"<img src=""Oh My Ghost_S01E04_Episode 4.th.closedcaptions_00h38m59s205ms-00h39m03s285ms.avif"">"	ก็ได้ แล้วก็ถ้าทำเสร็จก็เก็บกวาด	gɔ̂ɔ dâai lɛ́ɛo gɔ̂ɔ tâa tam sèt gɔ̂ɔ gèp-gwàat	Okay. And if done, then clean up	Multiple ก็ uses: ก็ได้ (okay/fine), แล้วก็ (and then), ถ้า...ก็ (if...then) in one utterance	ก็ได้ (gɔ̂ɔ dâai): okay/fine; เก็บกวาด (gèp-gwàat): clean up/tidy	[sound:Oh My Ghost_S01E04_Episode 4.th.closedcaptions_00h38m59s205ms-00h39m03s285ms.ogg]	1.1
